project_idx,feature_code,feature_name,title,summary,full_content,key_points,vector_similarity,chunks_from_announcement,chunks_from_attachments,referenced_attachments,extracted_at
1,project_name,사업명,사업명,해당 연구개발과제의 사업명을 기재합니다(연구자 직접 기입 불필요).,사업명: 해당 연구개발과제의 사업명을 기재합니다(연구자 직접 기입 불필요).,사업명 기재 필요|연구자 직접 기입 불필요,0.18834346532821655,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:23:44.077483
1,announcing_agency,공고기관,문의처,한국과학기술기획평가원 재정관리실 윤한울 선임전문관리원 연락처 정보가 포함되어 있습니다.,문의처 ◦ 한국과학기술기획평가원 재정관리실 윤한울 선임전문관리원 연락처 이메일 붙임 과제제안요청서 각 부 연구계획서 공모과제용 양식 부 신청자격 적정성 확인서 양식 부 개인정보 및 과세정보 제공활용동의서 양식 부 끝,공고기관: 한국과학기술기획평가원|담당자: 윤한울 선임전문관리원,0.25667375326156616,1,6,(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임2) 연구계획서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-09T12:23:48.473912
1,application_period,접수기간,결과 통보 및 연구개발기관,과제 재공모 접수마감은 2025.10.21.(화) 18:00까지입니다.,"과제 재공모 접수마감 선정평가(서면) 이의신청 선정 및 협약체결 2025.10.15.(수) ≫ 2025.10.21.(화) ≫ 2025.10.23.(목) ≫ 2025.10.28.(화) ≫ 2025.11.7.(금) ∼10.21.(화) 18:00까지 ∼10.27.(월) ∼11.6.(목) ∼11.11.(화) ※ 상기 일정과 방법 등은 변경될 수 있으며, 평가 방법 및 절차에 중대한 하자가 있는 경우, 1회에 한하여 이의신청할 수 있음",접수마감: 2025.10.21.(화) 18:00까지|재공모 접수 일정 포함,0.35622161626815796,2,5,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:23:55.128530
1,eligibility,참여자격,참여자격,"연구개발과제 신청자격에 부합하지 않는 연구개발기관 또는 개인이 없어야 하며, 참여기관 및 연구책임자가 국가연구개발사업에 참여제한을 받지 않아야 한다.","□ 신청자격 부합 여부 ◦ 연구개발과제 신청자격에 부합하지 않는 연구개발기관(단체) 또는 사람이 있는가? □ 참여제한 여부 ◦ 참여기관, 참여기관의 장, 연구책임자 및 참여연구자 등이 접수 마감일 기준 국가연구개발사업에 참여제한을 받고 있는가?",신청자격 부합 여부 확인 필요|참여기관 및 연구책임자는 참여제한이 없어야 함,0.34324896335601807,1,6,(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf|(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:00.455144
1,support_scale,지원규모,추진체계 및 예산/기간,"총 지원 규모는 0.8 억원이며, 이는 사업화 대상 연구개발비로 사용됩니다.","• 1차 연도 : 0.8 억원 기술료 징수 여부 징수 ( ), (징수)감면 ( ) 예산규모(2025) • 전 체 : 0.8 억원 (사업화 대상) (징수)면제 ( ) 비징수 (√ ) 정부지원 그 외 기관 등의 지원금 기관부담 연구 연구개발비 연구 합계 연구개발비 개발비 외 (단위: 천원) 개발비 지방자치단체 기타 ( ) 지원금 현금 현금 현물 현금 현물 현금 현물 현금 현물 합계 총계 80,000 - - - - - - 80,000 - 80,000 - 1단계 1년차 80,000 - - - - - - 80,000 - 80,000 - □ 과제구조 연구개발과제(√ ) 연구개발과제 총괄연구개발과제( ) 특성․유형 □ 보안과제 일반 (√ ), 보안 ( )",총 지원 규모: 0.8 억원|지원금은 사업화 대상 연구개발비로 사용,0.3202194571495056,1,6,(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:09.671665
1,support_period,지원기간,연구개발기간,연구개발과제의 전체 연구개발기간으로서 협약기간을 기재합니다.,14. 연구개발기간: 연구개발과제의 전체 연구개발기간으로서 협약기간을 기재합니다.,연구개발과제의 전체 연구개발기간|협약기간 기재,0.27469754219055176,0,7,(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:12.332519
1,submission_docs,제출서류,제출서류,"제출해야 할 서류 목록은 과제제안요청서, 연구계획서 공모과제용 양식, 신청자격 적정성 확인서 양식, 개인정보 및 과세정보 제공활용동의서 양식입니다.",붙임 과제제안요청서 각 부 연구계획서 공모과제용 양식 부 신청자격 적정성 확인서 양식 부 개인정보 및 과세정보 제공활용동의서 양식 부 끝,과제제안요청서|연구계획서 공모과제용 양식|신청자격 적정성 확인서 양식|개인정보 및 과세정보 제공활용동의서 양식,0.22197425365447998,1,6,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:17.114492
1,proposal,사업계획서,사업화 계획,"사업화 계획에 대한 내용을 포함하고 있으며, 연구개발성과의 사업화 전략 및 계획을 작성할 때 연구개발과제 특성에 따라 선택적으로 항목을 적용할 수 있습니다.","5. 연구개발성과의 사업화 전략 및 계획(해당 시 작성, 작성 시 연구개발과제 특성에 따라 항목을 선택적으로 적용 가능)",사업화 계획 작성|연구개발성과의 사업화 전략 및 계획,0.23678350448608398,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:20.014665
1,proposal_toc,사업계획서목차,사업계획서목차,"사업계획서에는 연구개발과제명, 기술분류, 추진전략 및 방법, 사업화 계획, 연구개발성과의 사업화 전략 및 계획 등의 섹션이 포함됩니다.","사업계획서에는 다음과 같은 섹션이 포함됩니다: 1) 연구개발과제명, 2) 기술분류, 3) 연구개발과제의 추진전략ㆍ방법 및 추진체계, 4) 사업화 계획, 5) 연구개발성과의 사업화 전략 및 계획.",연구개발과제명|기술분류|추진전략 및 방법|사업화 계획|사업화 전략 및 계획,0.36698204278945923,1,6,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:22.981088
1,evaluation_criteria,평가기준,평가기준 및 평가방법,"연구개발과제 특성에 따라 선택적으로 항목 적용이 가능하며, 평가기준 및 방법이 제시됩니다.","3. 평가기준 및 평가방법 (해당 시 작성하며, 작성 시에는 연구개발과제 특성에 따라 선택적으로 항목 적용이 가능합니다)",연구개발과제 특성에 따라 선택적 항목 적용 가능|평가기준 및 방법 제시,0.17000031471252441,0,7,(붙임2) 연구계획서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-09T12:24:26.510038
1,evaluation_method,평가방법,평가방법 및 평가환경,"신뢰성이 전제되어야 하며, 공인기관 시험성적서 또는 확인서, 수요기업 평가 등을 활용하되, 부득이하게 자체평가인 경우 신뢰성을 입증할 수 있는 객관적 자료의 제시가 필요합니다.","(2) 평가방법 및 평가환경: 신뢰성이 전제되어야 하며, 공인기관 시험성적서 또는 확인서, 수요기업 평가 등을 활용하되, 부득이하게 자체평가인 경우 신뢰성을 입증할 수 있는 객관적 자료의 제시가 필요합니다.",신뢰성 전제|공인기관 시험성적서 활용|자체평가 시 객관적 자료 필요,0.14761841297149658,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:30.766791
