result_id,project_idx,feature_code,feature_name,title,summary,full_content,key_points,vector_similarity,chunks_from_announcement,chunks_from_attachments,referenced_attachments,extracted_at
1,1,project_name,사업명,사업명,2025년 과학기술혁신정책지원사업,사업명 과학기술혁신정책지원사업 (해당 시 작성) 내역사업명 연구개발과제번호 (해당 시 작성) 기 국가과학기술 1순위 소분류 코드명 % 2순위 소분류 코드명 % 3순위 소분류 코드명 % 술 표준분류 분 부처기술분류 류 (해당 시 작성) 총괄연구개발명 2025년 과학기술혁신정책지원사업 (해당 시 작성),2025년 과학기술혁신정책지원사업|연구개발과제번호 및 내역사업명 기재 필요,0.42999958992004395,0,7,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:03:58.533296
2,1,announcing_agency,공고기관,공고기관,"주관기관은 과학기술정보통신부이며, 총괄주관연구개발기관은 한국과학기술기획평가원입니다.",주무부처 과학기술정보통신부 장관 배경훈 총괄주관연구개발기관 한국과학기술기획평가원 원장 오태석,주관기관: 과학기술정보통신부|총괄주관연구개발기관: 한국과학기술기획평가원,0.5738301277160645,2,5,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:04:06.979786
3,1,application_period,접수기간,공모일정 및 절차,신청기간은 2025년도 총 사업기간 등을 고려하여 단축공고 실시. 접수마감일은 2025년 10월 21일 화요일 18:00까지.,"◦ 신청기간 수 화
※ 2025년도 총 사업기간 등을 고려하여 안정적인 연구수행 및 연구결과물 도출을 위하여 단축공고 실시
◦ 접 수 처 한국과학기술기획평가원
◦ 접수마감일 년 월 일 화 까지",신청기간은 2025년도 총 사업기간 등을 고려하여 단축공고 실시|접수마감일은 2025년 10월 21일 화요일 18:00까지,0.5468432903289795,3,4,(붙임2) 연구계획서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:04:16.829056
4,1,project_period,사업기간,페이지 3,전체 연구개발기간 2025. . . - 2026. . . ( 개월 ),"전체 연구개발기간 2025. . . - 2026. . . ( 개월 ) 총 천원 총 연구개발비 (정부지원연구개발비: 천원, 기관부담연구개발비 : 천원, 지방자치단체지원연구개발비: 천원, 그 외 지원연구개발비: 천원) 기초[ ] 응용[ ] 개발[ ] 기술성숙도 착수시점 기준( ) 연구개발단계 기타(위 3가지에 해당되지 않는 경우)[ ] (해당 시 작성) 종료시점 목표( ) 연구개발과제 유형 (해당 시 작성) 연구개발과제 특성 (해당 시 작성) 최종 목표 연구개발 목표 및 내용 연구내용 연구개발성과 활용계획 및 기대 효과 국문핵심어 (5개 이내) 영문핵심어 (5개 이내)",사업기간: 2025년부터 2026년까지|연구개발기간은 개월 수로 명시됨,0.579006552696228,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-11T16:04:24.288941
5,1,target,지원대상,신청자격,"해당 공모에 신청할 수 있는 연구개발기관은 국가연구개발혁신법 제2조에 따른 기관·단체이며, 국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청할 수 없다.","신청자격 ◦ 해당 공모에 신청할 수 있는 연구개발기관은 국가연구개발혁신법 제2조(정의) 제3호에 따른 기관·단체 ※ 단, 공모일 현재 국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청 불가",신청 가능 연구개발기관은 국가연구개발혁신법에 따른 기관·단체|국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청 불가,0.643104076385498,3,4,(붙임2) 연구계획서 양식.pdf,2025-11-11T16:04:29.293205
6,1,eligibility,참여자격,신청자격,"신청할 수 있는 연구개발기관은 국가연구개발혁신법 제2조에 따른 기관·단체이며, 국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청할 수 없다.","신청자격 ◦ 해당 공모에 신청할 수 있는 연구개발기관은 국가연구개발혁신법 제2조(정의) 제3호에 따른 기관·단체 ※ 단, 공모일 현재 국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청 불가",신청할 수 있는 연구개발기관은 국가연구개발혁신법에 따른 기관·단체|국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청 불가,0.6121090054512024,4,3,(붙임2) 연구계획서 양식.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf,2025-11-11T16:04:35.043841
7,1,restrictions,참여제한,참여 제한 사항 및 결격사유,"신청과제가 공고된 과제제안요구서의 목표 및 내용에 부합하지 않거나, 국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청할 수 없다.","◦ 다음의 경우는 지원 대상에서 제외
신청과제가 공고된 과제제안요구서 의 목표 및 내용에 부합하지 않는 경우
신청과제의 과제기획위원회 에 참여한 과제기획위원이 해당 과제의 연구개발기관의 책임자로 과제에 참여하는 경우
과기정통부 과학기술혁신정책지원사업 심의회 연구책임자 등이 접수 마감일 현재 각종 보고서 제출 기술료 납부 등 의무사항을 불이행하고 있는 경우
접수기간 내에 사업계획서의 전산 접수 및 기타 서류 제출이 미비한 경우",신청과제가 공고된 과제제안요구서의 목표 및 내용에 부합하지 않음|국가R&D사업에 참여제한을 받고 있는 기관 및 책임자는 신청 불가,0.5638375282287598,4,3,(붙임2) 연구계획서 양식.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:04:43.173373
8,1,support_scale,지원규모,지원규모,"2025년도 과학기술혁신정책지원사업의 총 지원 규모는 80백만원이며, 연구기간은 협약일로부터 2026년 2월 10일까지입니다.",2025년도 과학기술혁신정책지원사업으로 추진하는 연구과제의 수행기관 선정을 위하여 다음과 같이 공고하오니 관심 있는 연구자들의 많은 참여 바랍니다. 구분 연구주제 연구비 연구기간 정부 R&D 성과확산 체계 구축을 위한 법률 정비(안) 및 성과확산 지원체계 구축에 관한 연구 1 80백만원 협약일~2026.2.10.,총 지원 규모: 80백만원|연구기간: 협약일~2026.2.10.,0.4782789945602417,1,6,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:04:48.627896
9,1,support_period,지원기간,구분 연구주제 연구비 연구기간,과제 수행 기간은 협약일로부터 2026년 2월 10일까지입니다.,"구분 연구주제 연구비 연구기간 정부 R&D 성과확산 체계 구축을 위한 법률 정비(안) 및 성과확산 지원체계 구축에 관한 연구 1 80백만원 협약일~2026.2.10. * 공모일정, 협약 시점 등을 고려하여 과기정통부 소관부서와 협의에 따라 협약기간이 변경될 수 있음",과제 수행 기간: 협약일~2026.2.10.|협약기간은 변경될 수 있음,0.4319869875907898,2,5,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:04:53.507649
10,1,submission_docs,제출서류,제출서류 및 제출방법,"신청서 제출 공문, 연구개발계획서, 신청자격 적정성 확인서, 개인정보 및 과세정보 제공활용동의서가 필요합니다.",가 제출서류 구분 서류명 부수 서식 비고 ① 신청서 제출 공문 1부 - 전자파일 ② 연구개발계획서 1부 별첨 1 제출 필수 ③ 신청자격 적정성 확인서 1부 - ④ 개인정보 및 과세정보 제공활용동의서 1부 -,신청서 제출 공문 1부|연구개발계획서 1부 (제출 필수)|신청자격 적정성 확인서 1부|개인정보 및 과세정보 제공활용동의서 1부,0.5318421125411987,1,6,(붙임2) 연구계획서 양식.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf,2025-11-11T16:05:02.890361
